Text,Category
Driving at 110 kmph in residential area,Speeding
Overspeeding near school zone,Speeding
Car moving at dangerous high speed on highway,Speeding
Exceeded speed limit by 40 kmph,Speeding
Racing another vehicle on city road,Speeding
Speeding through traffic lights,Speeding
Truck going above permitted speed,Speeding
Motorbike speeding in narrow lane,Speeding
Driving too fast in rain,Speeding
High speed driving in crowded market,Speeding
Accelerating beyond speed limit,Speeding
Driving at 130 kmph on expressway,Speeding
Speed violation captured by camera,Speeding
Ignoring posted speed limit sign,Speeding
Reckless high speed driving,Speeding
Speeding in construction zone,Speeding
Driving too fast near hospital,Speeding
Vehicle recorded at extreme speed,Speeding
Dangerous acceleration in traffic,Speeding
Speeding during heavy traffic hours,Speeding
Driving 90 in 50 zone,Speeding
Rapid speeding in tunnel,Speeding
Car overspeeding downhill,Speeding
Breaking urban speed regulation,Speeding
Excessive speed on main road,Speeding
Driving too fast around sharp curve,Speeding
Speeding in residential street,Speeding
Crossed speed limit checkpoint at high speed,Speeding
Motorist caught speeding by radar,Speeding
Aggressive high speed driving behavior,Speeding

Car parked in no parking zone,ParkingViolation
Vehicle blocking driveway,ParkingViolation
Illegal parking near intersection,ParkingViolation
Car parked on pedestrian crossing,ParkingViolation
Parking in front of fire hydrant,ParkingViolation
Vehicle double parked on street,ParkingViolation
Unauthorized parking in restricted area,ParkingViolation
Parking in handicapped space without permit,ParkingViolation
Blocking emergency exit with vehicle,ParkingViolation
Car left unattended in tow away zone,ParkingViolation
Parking on sidewalk,ParkingViolation
Improper parking causing obstruction,ParkingViolation
Truck parked in loading zone illegally,ParkingViolation
Parking in bus stop area,ParkingViolation
Vehicle standing in no stopping zone,ParkingViolation
Car parked against traffic direction,ParkingViolation
Illegal roadside parking,ParkingViolation
Parking in school entrance area,ParkingViolation
Vehicle parked on zebra crossing,ParkingViolation
Car stopped in ambulance lane,ParkingViolation
Unauthorized parking inside private property,ParkingViolation
Blocking traffic by improper parking,ParkingViolation
Car left in restricted parking area,ParkingViolation
Parking in government reserved space,ParkingViolation
Improper angle parking on street,ParkingViolation
Vehicle parked in red zone,ParkingViolation
Parking too close to junction,ParkingViolation
Car occupying two parking spots,ParkingViolation
Illegal overnight street parking,ParkingViolation
Parking violation near public building,ParkingViolation

Crossed red light at intersection,SignalJumping
Ran through red traffic signal,SignalJumping
Ignored red signal at junction,SignalJumping
Vehicle jumped traffic light,SignalJumping
Passing signal after it turned red,SignalJumping
Crossing intersection during red light,SignalJumping
Disobeyed traffic signal instructions,SignalJumping
Motorbike ran red light,SignalJumping
Car entered crossing on red signal,SignalJumping
Failure to stop at red light,SignalJumping
Signal violation at busy crossing,SignalJumping
Ignoring stop light at traffic point,SignalJumping
Red light violation captured by camera,SignalJumping
Crossing while signal was red,SignalJumping
